Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
2Soul,Kim Younghoon,김영훈,이솔,10/09/1997,7 O'clock,26/08/2014,Jungle,South Korea,,172.0,55.0,,,,M
A.M,Seong Hyunwoo,성현우,에이엠,31/12/1996,Limitless,9/07/2019,ONO,South Korea,,181.0,62.0,,,,M
Ace,Jang Wooyoung,장우영,에이스,28/08/1992,VAV,31/10/2015,A team,South Korea,,177.0,63.0,,,,M
Aeji,Kwon Aeji,권애지,애지,25/10/1999,Hash Tag,11/10/2017,LUK,South Korea,,163.0,,Daegu,,,F
AhIn,Lee Ahin,이아인,아인,27/09/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,160.0,44.0,Wonju,,,F
Ahra,Go Ahra,고아라,아라,21/02/2001,Favorite,5/07/2017,Astory,South Korea,,,,Yeosu,,,F
Ahyeon,Jung Ahyeon,정아현,아현,11/04/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F
Ahyoon,Choi Subin,최수빈,아윤,23/10/2004,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F
Ahyoon,Shin Ahyoon,신아윤,아윤,24/09/2003,Queenz Eye,24/10/2022,Big Mountain,South Korea,,,,Seoul,,,F
Ahyoung,Cho Jayoung,조자영,아영,26/05/1991,Dal Shabet,3/01/2011,Happy Face,South Korea,,,,Seoul,,,F
Ahyung,Kang Ahyoung,강아형,아형,27/08/1996,P.O.P,26/07/2017,DWM,South Korea,,,,Pohang,,,F
Ailee,Lee Yejin,이예진,에일리,30/05/1989,,,,South Korea,USA,165.0,,Denver,,,F
Aini,Kim Heejung,김희정,아이니,13/07/1991,,,,South Korea,,163.0,44.0,,,Pink Fantasy,F
